userID,days,place 1,place 2,place 3,place 4,place 5,place 6,place 7,place 8,place 9,place 10,gender,children,with,season,budget
150,3,Karnaphuli River,Bashbaria Sea Beach,Patenga Sea Beach,Napittachora Waterfalls,Chittagong Circuit House,Chandranath Hill and Temple,Mohamaya Lake,Abhay Mitra Ghat,Foy's Lake,,Female,No,Friends,Summer,3471.0
151,3,Mohamaya Lake,Chittagong Circuit House,Karnaphuli River,Abhay Mitra Ghat,Patenga Sea Beach,Bashbaria Sea Beach,Napittachora Waterfalls,,,,Male,Yes,Family,Winter,6454.5
152,2,Guliakhali Sea Beach,Khoiyachora Waterfall,Foy's Lake,Chittagong Circuit House,Bashbaria Sea Beach,Abhay Mitra Ghat,Naval Beach,Napittachora Waterfalls,Mohamaya Lake,Chandranath Hill and Temple,Male,Yes,Family,Winter,17343.0
153,3,Bashbaria Sea Beach,Bhatiari,Chandranath Hill and Temple,Napittachora Waterfalls,,,,,,,Male,No,Family,Autumn,20000.0
154,5,Patenga Sea Beach,Guliakhali Sea Beach,Khoiyachora Waterfall,Foy's Lake,Abhay Mitra Ghat,Bashbaria Sea Beach,,,,,Female,Yes,Solo,Monsoon,5648.0
155,2,Chandranath Hill and Temple,Patenga Sea Beach,Bashbaria Sea Beach,Mohamaya Lake,Foy's Lake,Guliakhali Sea Beach,Napittachora Waterfalls,Naval Beach,,,Female,Yes,Couple,Winter,14113.199999999999
156,1,Chandranath Hill and Temple,Foy's Lake,,,,,,,,,Male,No,Friends,Autumn,13400.0
157,9,Napittachora Waterfalls,Bashbaria Sea Beach,,,,,,,,,Female,No,Friends,Autumn,7342.0
158,5,Naval Beach,Bashbaria Sea Beach,,,,,,,,,Female,No,Family,Autumn,11802.0
159,5,Foy's Lake,Chittagong Circuit House,Khoiyachora Waterfall,Guliakhali Sea Beach,Chandranath Hill and Temple,,,,,,Male,Yes,Solo,Monsoon,19295.0
160,9,Khoiyachora Waterfall,Bashbaria Sea Beach,Naval Beach,,,,,,,,Female,No,Solo,Summer,19455.0
161,1,Bhatiari,Foy's Lake,Chittagong Circuit House,Bashbaria Sea Beach,Khoiyachora Waterfall,Mohamaya Lake,Karnaphuli River,Abhay Mitra Ghat,Patenga Sea Beach,Chandranath Hill and Temple,Male,Yes,Solo,Autumn,4504.0
162,5,Chandranath Hill and Temple,Patenga Sea Beach,,,,,,,,,Female,No,Solo,Winter,11726.0
163,1,Napittachora Waterfalls,Bashbaria Sea Beach,Chittagong Circuit House,Bhatiari,,,,,,,Female,Yes,Friends,Summer,7256.0
164,2,Naval Beach,Bhatiari,Abhay Mitra Ghat,Karnaphuli River,Patenga Sea Beach,Mohamaya Lake,Chandranath Hill and Temple,Napittachora Waterfalls,,,Male,Yes,Family,Monsoon,20000.0
165,4,Napittachora Waterfalls,Karnaphuli River,Guliakhali Sea Beach,,,,,,,,Male,No,Friends,Autumn,14843.0
166,1,Abhay Mitra Ghat,Chandranath Hill and Temple,,,,,,,,,Male,Yes,Solo,Winter,13632.0
167,1,Abhay Mitra Ghat,Karnaphuli River,Khoiyachora Waterfall,,,,,,,,Male,Yes,Couple,Summer,14804.4
168,2,Napittachora Waterfalls,Guliakhali Sea Beach,Bhatiari,Naval Beach,,,,,,,Female,Yes,Couple,Winter,17182.8
169,7,Chandranath Hill and Temple,Abhay Mitra Ghat,Karnaphuli River,Mohamaya Lake,Patenga Sea Beach,Chittagong Circuit House,Khoiyachora Waterfall,Napittachora Waterfalls,Guliakhali Sea Beach,,Male,Yes,Solo,Monsoon,11930.0
170,2,Bashbaria Sea Beach,Abhay Mitra Ghat,Guliakhali Sea Beach,Chittagong Circuit House,Karnaphuli River,Patenga Sea Beach,Khoiyachora Waterfall,,,,Male,Yes,Family,Winter,9666.0
171,10,Guliakhali Sea Beach,Khoiyachora Waterfall,,,,,,,,,Male,No,Family,Winter,20000.0
172,5,Abhay Mitra Ghat,Guliakhali Sea Beach,Napittachora Waterfalls,Mohamaya Lake,Bhatiari,Patenga Sea Beach,,,,,Female,No,Solo,Autumn,3934.0
173,10,Bhatiari,Guliakhali Sea Beach,,,,,,,,,Female,No,Family,Autumn,20000.0
174,5,Bhatiari,Khoiyachora Waterfall,Foy's Lake,Abhay Mitra Ghat,Napittachora Waterfalls,,,,,,Male,No,Friends,Monsoon,16172.0
175,4,Naval Beach,Napittachora Waterfalls,Mohamaya Lake,Chittagong Circuit House,Foy's Lake,Guliakhali Sea Beach,Karnaphuli River,Khoiyachora Waterfall,,,Male,No,Couple,Summer,16921.2
176,4,Chittagong Circuit House,Bashbaria Sea Beach,Mohamaya Lake,Patenga Sea Beach,Abhay Mitra Ghat,Khoiyachora Waterfall,Bhatiari,Naval Beach,Guliakhali Sea Beach,Chandranath Hill and Temple,Male,No,Couple,Monsoon,13522.8
177,10,Abhay Mitra Ghat,Bashbaria Sea Beach,Napittachora Waterfalls,Khoiyachora Waterfall,Foy's Lake,,,,,,Female,No,Family,Summer,13602.0
178,1,Chittagong Circuit House,Khoiyachora Waterfall,Guliakhali Sea Beach,Karnaphuli River,Mohamaya Lake,Bhatiari,Naval Beach,Patenga Sea Beach,Chandranath Hill and Temple,Foy's Lake,Male,No,Couple,Summer,19218.0
179,5,Foy's Lake,Chittagong Circuit House,Patenga Sea Beach,Mohamaya Lake,Chandranath Hill and Temple,Napittachora Waterfalls,Karnaphuli River,Naval Beach,Abhay Mitra Ghat,Khoiyachora Waterfall,Female,Yes,Family,Summer,20000.0
180,2,Mohamaya Lake,Abhay Mitra Ghat,Khoiyachora Waterfall,Naval Beach,Guliakhali Sea Beach,,,,,,Female,Yes,Friends,Winter,8773.0
181,1,Foy's Lake,Abhay Mitra Ghat,Karnaphuli River,Bhatiari,,,,,,,Male,No,Family,Monsoon,20000.0
182,9,Mohamaya Lake,Patenga Sea Beach,Abhay Mitra Ghat,Khoiyachora Waterfall,Naval Beach,Bashbaria Sea Beach,,,,,Female,Yes,Solo,Monsoon,8045.0
183,1,Mohamaya Lake,Foy's Lake,Guliakhali Sea Beach,Abhay Mitra Ghat,Karnaphuli River,Napittachora Waterfalls,,,,,Female,No,Solo,Autumn,15696.0
184,6,Khoiyachora Waterfall,Mohamaya Lake,Napittachora Waterfalls,Chittagong Circuit House,Chandranath Hill and Temple,,,,,,Male,No,Couple,Monsoon,4978.8
185,6,Patenga Sea Beach,Abhay Mitra Ghat,Chandranath Hill and Temple,Naval Beach,Chittagong Circuit House,Guliakhali Sea Beach,,,,,Male,No,Solo,Summer,10101.0
186,5,Patenga Sea Beach,Khoiyachora Waterfall,Karnaphuli River,Bhatiari,Bashbaria Sea Beach,,,,,,Female,Yes,Solo,Autumn,5251.0
187,2,Khoiyachora Waterfall,Naval Beach,Guliakhali Sea Beach,,,,,,,,Female,Yes,Friends,Winter,6490.0
188,9,Mohamaya Lake,Bhatiari,Khoiyachora Waterfall,Chandranath Hill and Temple,Karnaphuli River,,,,,,Male,Yes,Family,Winter,20000.0
189,4,Foy's Lake,Bashbaria Sea Beach,Guliakhali Sea Beach,Patenga Sea Beach,Napittachora Waterfalls,Chittagong Circuit House,Mohamaya Lake,Bhatiari,Naval Beach,,Female,Yes,Solo,Summer,6514.0
190,5,Chandranath Hill and Temple,Bhatiari,Abhay Mitra Ghat,,,,,,,,Male,No,Friends,Winter,4101.0
191,3,Karnaphuli River,Naval Beach,Khoiyachora Waterfall,Patenga Sea Beach,Chittagong Circuit House,Bashbaria Sea Beach,Chandranath Hill and Temple,Guliakhali Sea Beach,,,Female,Yes,Solo,Winter,8237.0
192,4,Chittagong Circuit House,Foy's Lake,Patenga Sea Beach,Karnaphuli River,Mohamaya Lake,Naval Beach,Guliakhali Sea Beach,,,,Female,Yes,Family,Winter,20000.0
193,4,Guliakhali Sea Beach,Bashbaria Sea Beach,Chandranath Hill and Temple,Patenga Sea Beach,Napittachora Waterfalls,Abhay Mitra Ghat,Naval Beach,Khoiyachora Waterfall,Bhatiari,Foy's Lake,Male,Yes,Couple,Autumn,20000.0
194,2,Khoiyachora Waterfall,Napittachora Waterfalls,Mohamaya Lake,Chandranath Hill and Temple,,,,,,,Male,Yes,Solo,Summer,11122.0
195,1,Khoiyachora Waterfall,Guliakhali Sea Beach,Naval Beach,Chittagong Circuit House,Bhatiari,Abhay Mitra Ghat,Foy's Lake,Patenga Sea Beach,Bashbaria Sea Beach,,Female,Yes,Solo,Monsoon,17951.0
196,7,Bashbaria Sea Beach,Patenga Sea Beach,,,,,,,,,Female,Yes,Couple,Monsoon,10140.0
197,3,Guliakhali Sea Beach,Abhay Mitra Ghat,Chandranath Hill and Temple,Patenga Sea Beach,Bashbaria Sea Beach,Foy's Lake,Naval Beach,Mohamaya Lake,Bhatiari,,Female,No,Friends,Autumn,17118.0
198,10,Foy's Lake,Abhay Mitra Ghat,Patenga Sea Beach,Naval Beach,Mohamaya Lake,Chittagong Circuit House,Karnaphuli River,Guliakhali Sea Beach,Napittachora Waterfalls,Khoiyachora Waterfall,Male,No,Couple,Summer,8611.199999999999
199,6,Bhatiari,Chandranath Hill and Temple,Chittagong Circuit House,Foy's Lake,Khoiyachora Waterfall,Abhay Mitra Ghat,,,,,Male,Yes,Friends,Winter,10943.0
200,3,Abhay Mitra Ghat,Chittagong Circuit House,Bashbaria Sea Beach,Napittachora Waterfalls,Foy's Lake,Patenga Sea Beach,Mohamaya Lake,Khoiyachora Waterfall,Naval Beach,Chandranath Hill and Temple,Female,No,Couple,Summer,9234.0
201,4,Khoiyachora Waterfall,Patenga Sea Beach,Chittagong Circuit House,Napittachora Waterfalls,Mohamaya Lake,Abhay Mitra Ghat,Bhatiari,Chandranath Hill and Temple,Guliakhali Sea Beach,Karnaphuli River,Male,Yes,Family,Summer,20000.0
202,10,Guliakhali Sea Beach,Chandranath Hill and Temple,Patenga Sea Beach,,,,,,,,Female,No,Solo,Summer,4964.0
203,3,Napittachora Waterfalls,Abhay Mitra Ghat,Naval Beach,Foy's Lake,Karnaphuli River,Mohamaya Lake,,,,,Male,No,Friends,Monsoon,13936.0
204,2,Khoiyachora Waterfall,Guliakhali Sea Beach,Bashbaria Sea Beach,,,,,,,,Female,Yes,Friends,Monsoon,5749.0
205,2,Khoiyachora Waterfall,Foy's Lake,Karnaphuli River,Chandranath Hill and Temple,Guliakhali Sea Beach,Abhay Mitra Ghat,Bashbaria Sea Beach,,,,Male,Yes,Family,Monsoon,16620.0
206,8,Naval Beach,Mohamaya Lake,Chandranath Hill and Temple,Patenga Sea Beach,Bashbaria Sea Beach,,,,,,Female,Yes,Solo,Monsoon,10592.0
207,10,Patenga Sea Beach,Chandranath Hill and Temple,Khoiyachora Waterfall,Guliakhali Sea Beach,,,,,,,Female,No,Friends,Winter,4222.0
208,4,Khoiyachora Waterfall,Bhatiari,Naval Beach,,,,,,,,Female,Yes,Couple,Winter,11318.4
209,5,Abhay Mitra Ghat,Mohamaya Lake,Bhatiari,,,,,,,,Female,Yes,Family,Winter,20000.0
210,10,Bashbaria Sea Beach,Guliakhali Sea Beach,Napittachora Waterfalls,Chandranath Hill and Temple,Patenga Sea Beach,Foy's Lake,Abhay Mitra Ghat,Karnaphuli River,Khoiyachora Waterfall,Naval Beach,Female,Yes,Couple,Summer,19516.8
211,4,Bashbaria Sea Beach,Chandranath Hill and Temple,,,,,,,,,Male,Yes,Friends,Summer,17497.0
212,10,Naval Beach,Guliakhali Sea Beach,Napittachora Waterfalls,Patenga Sea Beach,Bashbaria Sea Beach,Chandranath Hill and Temple,Karnaphuli River,,,,Male,No,Friends,Autumn,7004.0
213,10,Chandranath Hill and Temple,Chittagong Circuit House,Napittachora Waterfalls,Guliakhali Sea Beach,Bhatiari,Karnaphuli River,Naval Beach,Patenga Sea Beach,Mohamaya Lake,Bashbaria Sea Beach,Female,No,Couple,Autumn,14052.0
214,1,Napittachora Waterfalls,Naval Beach,Mohamaya Lake,Bhatiari,Patenga Sea Beach,Bashbaria Sea Beach,Chandranath Hill and Temple,Guliakhali Sea Beach,Abhay Mitra Ghat,,Female,Yes,Family,Winter,20000.0
215,4,Guliakhali Sea Beach,,,,,,,,,,Male,Yes,Couple,Monsoon,20000.0
216,1,Bashbaria Sea Beach,Chittagong Circuit House,Patenga Sea Beach,Naval Beach,Chandranath Hill and Temple,Khoiyachora Waterfall,,,,,Male,No,Family,Winter,20000.0
217,7,Khoiyachora Waterfall,Chittagong Circuit House,Abhay Mitra Ghat,Naval Beach,Karnaphuli River,Foy's Lake,Patenga Sea Beach,,,,Female,No,Solo,Winter,17428.0
218,6,Chandranath Hill and Temple,Guliakhali Sea Beach,Chittagong Circuit House,Bhatiari,Napittachora Waterfalls,,,,,,Male,No,Friends,Monsoon,13267.0
219,6,Bhatiari,Napittachora Waterfalls,Karnaphuli River,Chittagong Circuit House,Bashbaria Sea Beach,Patenga Sea Beach,,,,,Female,Yes,Solo,Winter,18691.0
220,10,Mohamaya Lake,Foy's Lake,Chittagong Circuit House,Guliakhali Sea Beach,Bashbaria Sea Beach,Chandranath Hill and Temple,Patenga Sea Beach,Khoiyachora Waterfall,,,Male,Yes,Couple,Monsoon,16059.599999999999
221,7,Mohamaya Lake,Guliakhali Sea Beach,Bashbaria Sea Beach,Foy's Lake,Chandranath Hill and Temple,Karnaphuli River,,,,,Female,Yes,Solo,Monsoon,6118.0
222,8,Guliakhali Sea Beach,Mohamaya Lake,Foy's Lake,Chittagong Circuit House,Bashbaria Sea Beach,Khoiyachora Waterfall,Naval Beach,,,,Female,Yes,Solo,Autumn,8589.0
223,4,Chittagong Circuit House,Naval Beach,Patenga Sea Beach,,,,,,,,Female,No,Family,Monsoon,6327.0
224,10,Foy's Lake,Bashbaria Sea Beach,Khoiyachora Waterfall,,,,,,,,Male,No,Solo,Autumn,6512.0
225,2,Chittagong Circuit House,Patenga Sea Beach,Guliakhali Sea Beach,Bhatiari,Karnaphuli River,Napittachora Waterfalls,Naval Beach,Khoiyachora Waterfall,Foy's Lake,Chandranath Hill and Temple,Male,Yes,Friends,Monsoon,17023.0
226,9,Chittagong Circuit House,Chandranath Hill and Temple,Karnaphuli River,Bhatiari,Bashbaria Sea Beach,Patenga Sea Beach,Khoiyachora Waterfall,Foy's Lake,Mohamaya Lake,,Female,No,Couple,Winter,12811.199999999999
227,2,Foy's Lake,Chittagong Circuit House,Naval Beach,Napittachora Waterfalls,Bashbaria Sea Beach,Abhay Mitra Ghat,Bhatiari,,,,Female,No,Couple,Summer,20000.0
228,2,Naval Beach,Chittagong Circuit House,Bashbaria Sea Beach,Khoiyachora Waterfall,,,,,,,Male,No,Solo,Autumn,14111.0
229,1,Patenga Sea Beach,Chandranath Hill and Temple,Chittagong Circuit House,Bhatiari,Guliakhali Sea Beach,Khoiyachora Waterfall,Karnaphuli River,,,,Female,Yes,Family,Summer,20000.0
230,3,Chandranath Hill and Temple,Foy's Lake,Abhay Mitra Ghat,Mohamaya Lake,Napittachora Waterfalls,,,,,,Male,Yes,Friends,Monsoon,5512.0
231,9,Abhay Mitra Ghat,Karnaphuli River,Bashbaria Sea Beach,Bhatiari,Chandranath Hill and Temple,Guliakhali Sea Beach,Napittachora Waterfalls,Patenga Sea Beach,Chittagong Circuit House,,Male,Yes,Friends,Summer,11232.0
232,1,Bhatiari,Karnaphuli River,Mohamaya Lake,Abhay Mitra Ghat,Khoiyachora Waterfall,Bashbaria Sea Beach,Chittagong Circuit House,,,,Female,No,Family,Autumn,6796.5
233,1,Bhatiari,Khoiyachora Waterfall,,,,,,,,,Male,Yes,Friends,Autumn,16133.0
234,4,Patenga Sea Beach,Karnaphuli River,Guliakhali Sea Beach,Bhatiari,Abhay Mitra Ghat,Mohamaya Lake,Napittachora Waterfalls,Khoiyachora Waterfall,Bashbaria Sea Beach,,Female,No,Couple,Monsoon,7102.8
235,8,Patenga Sea Beach,Karnaphuli River,Chittagong Circuit House,Bashbaria Sea Beach,Chandranath Hill and Temple,Mohamaya Lake,,,,,Female,Yes,Solo,Monsoon,4850.0
236,7,Bashbaria Sea Beach,Bhatiari,Naval Beach,Napittachora Waterfalls,Mohamaya Lake,Patenga Sea Beach,Foy's Lake,,,,Male,No,Solo,Summer,14772.0
237,9,Naval Beach,Chittagong Circuit House,Mohamaya Lake,Foy's Lake,Khoiyachora Waterfall,Patenga Sea Beach,,,,,Female,Yes,Friends,Winter,19093.0
238,9,Naval Beach,Karnaphuli River,Chittagong Circuit House,Bashbaria Sea Beach,Napittachora Waterfalls,Guliakhali Sea Beach,Khoiyachora Waterfall,,,,Male,No,Friends,Autumn,3410.0
239,10,Mohamaya Lake,Naval Beach,Napittachora Waterfalls,Bashbaria Sea Beach,Foy's Lake,Bhatiari,,,,,Male,Yes,Solo,Summer,8066.0
240,4,Chittagong Circuit House,Khoiyachora Waterfall,Abhay Mitra Ghat,Napittachora Waterfalls,Patenga Sea Beach,Guliakhali Sea Beach,Bhatiari,Chandranath Hill and Temple,Mohamaya Lake,,Male,No,Friends,Monsoon,17569.0
241,10,Chandranath Hill and Temple,Bhatiari,Naval Beach,Foy's Lake,Bashbaria Sea Beach,Karnaphuli River,Chittagong Circuit House,,,,Female,No,Friends,Autumn,9416.0
242,7,Patenga Sea Beach,Naval Beach,Chandranath Hill and Temple,,,,,,,,Male,Yes,Family,Summer,13366.5
243,8,Chandranath Hill and Temple,Abhay Mitra Ghat,Naval Beach,Chittagong Circuit House,Foy's Lake,Napittachora Waterfalls,Khoiyachora Waterfall,Karnaphuli River,Guliakhali Sea Beach,,Female,No,Friends,Autumn,16017.0
244,1,Bhatiari,Khoiyachora Waterfall,Chittagong Circuit House,Mohamaya Lake,Chandranath Hill and Temple,Karnaphuli River,Patenga Sea Beach,Foy's Lake,Abhay Mitra Ghat,Napittachora Waterfalls,Female,Yes,Solo,Autumn,15265.0
245,10,Abhay Mitra Ghat,Napittachora Waterfalls,Bashbaria Sea Beach,Guliakhali Sea Beach,,,,,,,Female,No,Family,Autumn,7962.0
246,3,Guliakhali Sea Beach,Karnaphuli River,Chittagong Circuit House,Bhatiari,Chandranath Hill and Temple,Abhay Mitra Ghat,Naval Beach,Khoiyachora Waterfall,Napittachora Waterfalls,Foy's Lake,Male,No,Solo,Autumn,16678.0
247,3,Karnaphuli River,Khoiyachora Waterfall,Naval Beach,Patenga Sea Beach,Chittagong Circuit House,Chandranath Hill and Temple,,,,,Male,Yes,Friends,Autumn,8041.0
248,4,Bashbaria Sea Beach,Napittachora Waterfalls,Mohamaya Lake,Karnaphuli River,Guliakhali Sea Beach,Chandranath Hill and Temple,,,,,Male,No,Solo,Autumn,8397.0
249,7,Napittachora Waterfalls,Chittagong Circuit House,Mohamaya Lake,Naval Beach,Bhatiari,Foy's Lake,Guliakhali Sea Beach,,,,Male,Yes,Couple,Autumn,5670.0
250,5,Patenga Sea Beach,Chandranath Hill and Temple,Mohamaya Lake,Napittachora Waterfalls,Bhatiari,Bashbaria Sea Beach,Abhay Mitra Ghat,Khoiyachora Waterfall,Karnaphuli River,Guliakhali Sea Beach,Female,Yes,Family,Winter,13725.0
251,10,Guliakhali Sea Beach,Mohamaya Lake,Patenga Sea Beach,Chandranath Hill and Temple,Khoiyachora Waterfall,Bashbaria Sea Beach,Naval Beach,Bhatiari,Napittachora Waterfalls,,Male,No,Family,Autumn,8248.5
252,3,Bashbaria Sea Beach,Patenga Sea Beach,,,,,,,,,Female,Yes,Family,Monsoon,20000.0
253,3,Abhay Mitra Ghat,Chittagong Circuit House,Mohamaya Lake,Napittachora Waterfalls,Guliakhali Sea Beach,Patenga Sea Beach,Naval Beach,,,,Female,No,Family,Winter,12289.5
254,4,Chandranath Hill and Temple,Abhay Mitra Ghat,Bashbaria Sea Beach,Khoiyachora Waterfall,Guliakhali Sea Beach,Foy's Lake,Bhatiari,,,,Male,Yes,Friends,Winter,18306.0
255,4,Bhatiari,Chittagong Circuit House,Karnaphuli River,Naval Beach,Chandranath Hill and Temple,Khoiyachora Waterfall,,,,,Male,No,Couple,Autumn,4580.4
256,3,Chittagong Circuit House,Bhatiari,Patenga Sea Beach,Guliakhali Sea Beach,Karnaphuli River,Bashbaria Sea Beach,Foy's Lake,Naval Beach,,,Female,Yes,Friends,Winter,18981.0
257,7,Karnaphuli River,Foy's Lake,Chittagong Circuit House,Chandranath Hill and Temple,Patenga Sea Beach,Bhatiari,Mohamaya Lake,Abhay Mitra Ghat,Guliakhali Sea Beach,Naval Beach,Female,Yes,Friends,Autumn,14619.0
258,3,Foy's Lake,Patenga Sea Beach,Karnaphuli River,Bhatiari,Bashbaria Sea Beach,Naval Beach,,,,,Female,No,Couple,Winter,10392.0
259,7,Guliakhali Sea Beach,Khoiyachora Waterfall,Napittachora Waterfalls,,,,,,,,Male,Yes,Friends,Winter,9374.0
260,10,Chandranath Hill and Temple,Napittachora Waterfalls,Khoiyachora Waterfall,Bashbaria Sea Beach,,,,,,,Female,No,Family,Summer,19299.0
261,6,Patenga Sea Beach,Napittachora Waterfalls,,,,,,,,,Male,Yes,Friends,Monsoon,7237.0
262,4,Patenga Sea Beach,Mohamaya Lake,Chandranath Hill and Temple,Napittachora Waterfalls,,,,,,,Male,No,Family,Autumn,8317.5
263,8,Khoiyachora Waterfall,Bhatiari,Karnaphuli River,Chittagong Circuit House,Foy's Lake,Naval Beach,Abhay Mitra Ghat,Guliakhali Sea Beach,Patenga Sea Beach,,Male,No,Couple,Autumn,17280.0
264,2,Chandranath Hill and Temple,Khoiyachora Waterfall,Abhay Mitra Ghat,,,,,,,,Female,Yes,Family,Monsoon,17200.5
265,7,Naval Beach,Chandranath Hill and Temple,Bashbaria Sea Beach,Karnaphuli River,Napittachora Waterfalls,Chittagong Circuit House,Abhay Mitra Ghat,Patenga Sea Beach,Guliakhali Sea Beach,Foy's Lake,Female,Yes,Solo,Monsoon,16448.0
266,7,Guliakhali Sea Beach,Naval Beach,Patenga Sea Beach,,,,,,,,Female,No,Couple,Winter,15384.0
267,3,Bashbaria Sea Beach,Guliakhali Sea Beach,Patenga Sea Beach,Karnaphuli River,Naval Beach,Napittachora Waterfalls,Abhay Mitra Ghat,Chittagong Circuit House,,,Female,No,Friends,Monsoon,9091.0
268,6,Abhay Mitra Ghat,Naval Beach,Khoiyachora Waterfall,Chandranath Hill and Temple,Napittachora Waterfalls,,,,,,Male,No,Family,Autumn,20000.0
269,7,Patenga Sea Beach,Abhay Mitra Ghat,Foy's Lake,Karnaphuli River,Mohamaya Lake,Khoiyachora Waterfall,,,,,Male,No,Solo,Winter,8003.0
270,4,Chandranath Hill and Temple,Napittachora Waterfalls,Khoiyachora Waterfall,Mohamaya Lake,,,,,,,Male,No,Couple,Winter,8328.0
271,1,Karnaphuli River,Bhatiari,Foy's Lake,,,,,,,,Male,No,Solo,Monsoon,10020.0
272,1,Chandranath Hill and Temple,Bashbaria Sea Beach,Mohamaya Lake,Napittachora Waterfalls,Guliakhali Sea Beach,Chittagong Circuit House,Karnaphuli River,Patenga Sea Beach,Abhay Mitra Ghat,Khoiyachora Waterfall,Male,Yes,Solo,Autumn,6424.0
273,1,Patenga Sea Beach,Chandranath Hill and Temple,Foy's Lake,Khoiyachora Waterfall,Abhay Mitra Ghat,Guliakhali Sea Beach,Napittachora Waterfalls,,,,Female,No,Solo,Winter,14296.0
274,8,Foy's Lake,Chandranath Hill and Temple,Khoiyachora Waterfall,Bhatiari,Napittachora Waterfalls,Mohamaya Lake,,,,,Male,Yes,Solo,Monsoon,16379.0
275,4,Bhatiari,Napittachora Waterfalls,Abhay Mitra Ghat,Foy's Lake,Chandranath Hill and Temple,Karnaphuli River,Khoiyachora Waterfall,Mohamaya Lake,Bashbaria Sea Beach,Patenga Sea Beach,Female,Yes,Friends,Monsoon,15102.0
276,4,Naval Beach,Bashbaria Sea Beach,Chandranath Hill and Temple,Mohamaya Lake,Bhatiari,Chittagong Circuit House,Abhay Mitra Ghat,Guliakhali Sea Beach,Napittachora Waterfalls,,Male,Yes,Couple,Summer,18516.0
277,3,Chandranath Hill and Temple,Naval Beach,,,,,,,,,Female,Yes,Solo,Autumn,8375.0
278,7,Patenga Sea Beach,Foy's Lake,Guliakhali Sea Beach,,,,,,,,Female,No,Family,Summer,17503.5
279,4,Bhatiari,,,,,,,,,,Male,Yes,Friends,Autumn,7645.0
280,2,Mohamaya Lake,Naval Beach,Abhay Mitra Ghat,Patenga Sea Beach,Chittagong Circuit House,Guliakhali Sea Beach,,,,,Female,No,Solo,Monsoon,10344.0
281,9,Bashbaria Sea Beach,Foy's Lake,Chittagong Circuit House,Guliakhali Sea Beach,Khoiyachora Waterfall,Napittachora Waterfalls,Karnaphuli River,Chandranath Hill and Temple,Bhatiari,Mohamaya Lake,Female,Yes,Couple,Winter,20000.0
282,10,Chittagong Circuit House,Napittachora Waterfalls,,,,,,,,,Male,No,Solo,Summer,13402.0
283,5,Mohamaya Lake,Abhay Mitra Ghat,Bashbaria Sea Beach,Napittachora Waterfalls,Patenga Sea Beach,Chittagong Circuit House,Chandranath Hill and Temple,,,,Male,No,Family,Summer,20000.0
284,7,Guliakhali Sea Beach,Mohamaya Lake,Foy's Lake,Patenga Sea Beach,Abhay Mitra Ghat,Khoiyachora Waterfall,Napittachora Waterfalls,Bashbaria Sea Beach,Naval Beach,,Female,Yes,Friends,Summer,9417.0
285,1,Foy's Lake,Patenga Sea Beach,Mohamaya Lake,Chandranath Hill and Temple,Bhatiari,Khoiyachora Waterfall,Chittagong Circuit House,Guliakhali Sea Beach,,,Female,Yes,Friends,Autumn,17493.0
286,10,Karnaphuli River,Napittachora Waterfalls,Foy's Lake,Bashbaria Sea Beach,Naval Beach,Khoiyachora Waterfall,,,,,Male,No,Couple,Summer,9312.0
287,6,Bhatiari,Chittagong Circuit House,Khoiyachora Waterfall,Mohamaya Lake,Abhay Mitra Ghat,Napittachora Waterfalls,Foy's Lake,Patenga Sea Beach,Guliakhali Sea Beach,Chandranath Hill and Temple,Male,No,Friends,Autumn,8544.0
288,8,Bashbaria Sea Beach,Napittachora Waterfalls,Patenga Sea Beach,Guliakhali Sea Beach,Abhay Mitra Ghat,Naval Beach,,,,,Female,Yes,Solo,Monsoon,4321.0
289,1,Bhatiari,Abhay Mitra Ghat,Foy's Lake,Mohamaya Lake,Napittachora Waterfalls,Chandranath Hill and Temple,,,,,Female,No,Friends,Summer,15970.0
290,4,Chandranath Hill and Temple,Mohamaya Lake,Abhay Mitra Ghat,Patenga Sea Beach,,,,,,,Male,No,Solo,Monsoon,18279.0
291,6,Patenga Sea Beach,Bhatiari,Karnaphuli River,Mohamaya Lake,Abhay Mitra Ghat,Foy's Lake,Chittagong Circuit House,Bashbaria Sea Beach,,,Female,No,Friends,Monsoon,18714.0
292,7,Mohamaya Lake,Abhay Mitra Ghat,Khoiyachora Waterfall,Chandranath Hill and Temple,Napittachora Waterfalls,Bashbaria Sea Beach,Guliakhali Sea Beach,Foy's Lake,,,Female,Yes,Solo,Autumn,10344.0
293,4,Bhatiari,Bashbaria Sea Beach,Foy's Lake,Naval Beach,Chandranath Hill and Temple,Khoiyachora Waterfall,Karnaphuli River,Napittachora Waterfalls,,,Male,Yes,Couple,Monsoon,7599.599999999999
294,4,Chittagong Circuit House,Bhatiari,Foy's Lake,Chandranath Hill and Temple,Patenga Sea Beach,Abhay Mitra Ghat,Mohamaya Lake,,,,Female,No,Friends,Monsoon,9043.0
295,9,Guliakhali Sea Beach,Naval Beach,Patenga Sea Beach,Bhatiari,Mohamaya Lake,Foy's Lake,Khoiyachora Waterfall,Karnaphuli River,Chittagong Circuit House,Bashbaria Sea Beach,Male,No,Couple,Autumn,20000.0
296,8,Abhay Mitra Ghat,Foy's Lake,Napittachora Waterfalls,Patenga Sea Beach,Bhatiari,Guliakhali Sea Beach,Naval Beach,Bashbaria Sea Beach,,,Female,No,Family,Winter,7269.0
